PLSR_inputs,Perc_varance_l2OPP_change_explained
dose+F+rate+nd+cell,54.035716201348
F+rate+nd+cell,47.9320321614711
dose,25.9733594683139
F,21.4827677215693
rate,9.5593528192238
nd,26.2753733234207
cell,23.4514177149043
nd+cell,45.3667794187407
f+cell,35.6005568947382
rate+cell,28.0537667822418
f+rate+cell,36.2216630188594
nd+rate+cell,45.9549792196767
f+nd+cell,47.9439303686569
dose+cell,49.8554408788741
f+rate+nd,33.6835175718262
